q301,q302,q303_1,q303_10,q303_11,q303_2,q303_3,q303_4,q303_5,q303_6,q303_7,q303_8,q303_9,q308a,q308b,q308c,q308d,q308e,q309a,q309b,q316,q317,q318a,q320a,q320c,q320d,q321a,q321b,q321c,q321d,q321e,q321f,q322a,q322b,q322c,q322c_new,q322d_new,q322f,q324a,q324b,q324c,q324d,q325a,q325b,q325c,q325d,q325e_new,q325f_new,q326,q327a,q327c,q327d,q327e,q328b,q328d,q328e,q328f,q331a,q331b,q331c,q332a,q332b,q332c,q332e,q334A,q334B,q334C,q334D,q334E,q334F,q335,q401,q414A,q414B,q414C,q414D,q414E,q415a,q415b,q415c,q415d,q416,q417_a,q417_b,q417_c,q417_d,q417_e,q417a_1,q417a_2,q417a_3,q417a_4,q417a_5,q417a_6,q417a_7,q417a_8,q418a,q422a,q422b,q422c,q422d,q422e,q422f,q422g,q422h,q426_1,q426_2,q426_3,q426_4,q426_5,q427_a,q427_b,q427_c,q427_d,qapp_dtrmp,children,edloan,educ,employ,gender,hadjob,hispanic,ideo5,immstat,income,industryclass,investor,marstat,metro,newsint,ownhome,pew_bornagain,pew_churatd,pew_prayer,pew_religimp,pid3,pid7,race,religion,sexuality,trans,union,urbancity,votereg,age,health_ins,military,abbr,state,dem_agree,gop_agree,econ,social,inc3,st_type,fname,lname,loc,cutout
1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,4,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,3,7,5,1,7,4,2,5,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,4,3,5,4,4,2,4,4,4,2,1,4,1,5,3,4,4,1,0,2,1,1,1,,2,2,5,6,12,2,5,TAMPA-ST. PETE (SARASOTA),2,2,2,5,6,3,3,4,1,2,1,2,3,2,1,22,no,no,FL,Florida,0.3125,0.65625,0.42857142857142855,0.07142857142857142,$$,purple,James,Bender,a suburb of Tampa,W
4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,3,2,3,1,1,1,3,1,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,8,3,7,6,1,5,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,5,5,1,5,1,1,5,3,1,1,3,3,2,3,3,3,4,6,2,2,5,1,1,2,1,3,6,9,1,1,MANKATO,1,1,2,4,1,2,3,4,1,12,1,2,3,3,1,68,employer,veteran,MN,Minnesota,0.90625,0.140625,-0.6285714285714286,-0.7857142857142857,$$,blue,Ethan,Barr,"Mankato, Minnesota",A
1,3,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,6,6,1,4,4,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,3,2,1,5,1,5,5,3,5,5,5,2,2,3,2,2,2,1,2,2,6,5,1,1,2,5,5,13,22,1,1,JACKSONVILLE,1,1,2,6,7,4,2,7,1,12,1,2,3,1,1,76,medicare,veteran,FL,Florida,0.125,0.734375,0.7714285714285715,0.6071428571428571,$$$,purple,Michael,Bishop,"Jacksonville, Florida",X
3,4,2,1,2,2,2,2,2,2,2,2,2,4,4,3,4,4,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,4,5,5,3,6,4,1,5,1,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,5,3,3,1,2,3,2,2,2,1,2,2,3,2,2,2,4,5,2,5,1,2,,2,3,4,11,7,1,1,WICHITA-HUTCHINSON PLUS,1,1,1,3,5,1,3,3,4,1,1,2,3,1,1,44,employer,family_veteran,KS,Kansas,0.65625,0.296875,-0.2571428571428571,-0.25,$$,red,Mary,Tapia,"Wichita, Kansas",m
4,3,2,1,2,2,2,2,2,2,2,2,2,3,3,3,5,5,1,1,1,2,4,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,3,5,8,3,6,8,1,5,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,1,4,2,2,4,2,1,1,2,2,3,3,3,3,3,4,1,4,7,2,2,2,2,5,2,,2,1,ATLANTA,2,2,1,3,2,1,1,2,2,1,1,2,3,2,1,33,no,no,GA,Georgia,0.703125,0.359375,-0.3142857142857143,-0.5714285714285714,$,red,Lauren,Kennedy,a suburb of Atlanta,g
1,2,2,2,1,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,6,6,4,1,5,5,2,5,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,5,4,2,5,1,2,5,2,4,4,3,2,3,2,2,3,3,1,3,2,6,1,1,,2,5,4,10,18,1,1,WACO-TEMPLE-BRYAN,1,1,1,2,2,1,2,7,1,1,1,2,3,3,1,44,employer,family_veteran,TX,Texas,0.25,0.703125,0.4857142857142857,0.5,$$,red,Raymond,Wolf,"Waco, Texas",Q
1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,7,7,7,1,7,4,3,5,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,3,5,1,1,1,5,5,1,5,2,1,1,3,2,2,4,3,1,1,2,3,1,2,,2,5,5,3,8,1,5,HATTIESBURG-LAUREL,3,1,1,1,3,1,2,7,1,1,1,2,3,3,1,21,employer,family_veteran,MS,Mississippi,0.1875,0.703125,0.6857142857142857,0.6071428571428571,$,red,Samantha,Tyler,"Hattiesburg, Mississippi",j
4,2,2,2,1,2,2,2,2,2,2,2,2,4,4,2,1,1,1,1,1,2,0,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,5,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,3,2,1,1,2,2,2,2,2,2,2,2,3,4,3,4,0,2,5,1,2,,2,2,5,12,19,2,5,NEW YORK,3,2,2,5,6,2,1,2,1,5,1,2,3,2,1,25,employer,no,NY,New York,0.828125,0.1875,-0.6571428571428571,-0.42857142857142855,$$$,blue,Julie,Gates,a suburb of New York,m
3,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,2,,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,6,6,6,6,6,6,3,5,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,5,5,3,4,3,5,5,1,5,1,1,1,3,4,2,2,2,1,5,2,5,6,1,2,2,3,4,11,,2,4,ATLANTA,2,2,1,5,1,2,2,6,1,2,1,2,2,2,1,55,medicare,no,GA,Georgia,0.421875,0.53125,0.11428571428571428,0.35714285714285715,$$,red,Louis,Wolfe,a suburb of Atlanta,W
3,3,2,2,2,2,2,2,2,2,1,2,2,4,3,4,2,2,2,1,1,2,0,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,3,4,7,2,6,6,3,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,4,4,2,2,5,3,3,3,3,3,1,2,2,2,3,1,2,5,1,1,,2,2,5,11,12,1,5,,3,2,2,6,2,3,1,2,1,11,1,2,3,1,1,25,employer,no,MA,Massachusetts,0.71875,0.265625,-0.2571428571428571,-0.7142857142857143,$$,blue,Thomas,Lowe,a city in Massachusetts,I
